,OptionType,Strike,Maturity,Volatility,Spot,RiskFreeRate
0,call,80,0.5,0.0650454375988219,100,0.01
1,call,82,0.5,0.0613468310216946,100,0.01
2,call,84,0.5,0.05928633185470739,100,0.01
3,call,86,0.5,0.056371351629072045,100,0.01
4,call,89,0.5,0.054382935718634666,100,0.01
5,call,91,0.5,0.051545152939071665,100,0.01
6,call,93,0.5,0.0515774295028637,100,0.01
7,call,95,0.5,0.05090436761515539,100,0.01
8,call,97,0.5,0.049967996718203664,100,0.01
9,call,99,0.5,0.05067214275200366,100,0.01
10,call,101,0.5,0.05046218602990399,100,0.01
11,call,104,0.5,0.05049390554535477,100,0.01
12,call,106,0.5,0.05161506785170147,100,0.01
13,call,108,0.5,0.05098497538720867,100,0.01
14,call,110,0.5,0.052189749592867714,100,0.01
15,call,112,0.5,0.05519229265640848,100,0.01
16,call,114,0.5,0.052517421542408814,100,0.01
17,call,116,0.5,0.056599797856515095,100,0.01
18,call,118,0.5,0.05717786123630164,100,0.01
19,call,121,0.5,0.06043432024267242,100,0.01
20,call,80,0.5959595959595959,0.06583058887802191,100,0.01
21,call,82,0.5959595959595959,0.06246959034289884,100,0.01
22,call,84,0.5959595959595959,0.060830791764650984,100,0.01
23,call,86,0.5959595959595959,0.05768900789002611,100,0.01
24,call,89,0.5959595959595959,0.05428410529334177,100,0.01
25,call,91,0.5959595959595959,0.05387796641749874,100,0.01
26,call,93,0.5959595959595959,0.05236438930711752,100,0.01
27,call,95,0.5959595959595959,0.05067432298600714,100,0.01
28,call,97,0.5959595959595959,0.0494620126564323,100,0.01
29,call,99,0.5959595959595959,0.049497148822067814,100,0.01
30,call,101,0.5959595959595959,0.05027552449612101,100,0.01
31,call,104,0.5959595959595959,0.04836391520945782,100,0.01
32,call,106,0.5959595959595959,0.05139146134932738,100,0.01
33,call,108,0.5959595959595959,0.05138445526425093,100,0.01
34,call,110,0.5959595959595959,0.052363059463873124,100,0.01
35,call,112,0.5959595959595959,0.052801517178499874,100,0.01
36,call,114,0.5959595959595959,0.05606171223569299,100,0.01
37,call,116,0.5959595959595959,0.05679501867688496,100,0.01
38,call,119,0.5959595959595959,0.05961252115476889,100,0.01
39,call,121,0.5959595959595959,0.05875328050233647,100,0.01
40,call,80,0.6919191919191919,0.06565857599457703,100,0.01
41,call,82,0.6919191919191919,0.06353547900533195,100,0.01
42,call,84,0.6919191919191919,0.06118157871568475,100,0.01
43,call,86,0.6919191919191919,0.05693934475996762,100,0.01
44,call,89,0.6919191919191919,0.054980156787339154,100,0.01
45,call,91,0.6919191919191919,0.05377847533803836,100,0.01
46,call,93,0.6919191919191919,0.05229832939659769,100,0.01
47,call,95,0.6919191919191919,0.05036106461188588,100,0.01
48,call,97,0.6919191919191919,0.05095381772437906,100,0.01
49,call,99,0.6919191919191919,0.04968455442077065,100,0.01
50,call,101,0.6919191919191919,0.049845590092685695,100,0.01
51,call,104,0.6919191919191919,0.050448905248615526,100,0.01
52,call,106,0.6919191919191919,0.049616925869474325,100,0.01
53,call,108,0.6919191919191919,0.05119757815597631,100,0.01
54,call,110,0.6919191919191919,0.05257205643323026,100,0.01
55,call,112,0.6919191919191919,0.054923354559500794,100,0.01
56,call,114,0.6919191919191919,0.05575603062202314,100,0.01
57,call,117,0.6919191919191919,0.0569985751102502,100,0.01
58,call,119,0.6919191919191919,0.05597933440279583,100,0.01
59,call,121,0.6919191919191919,0.059091223762999315,100,0.01
60,call,80,0.7878787878787878,0.06564114320031464,100,0.01
61,call,82,0.7878787878787878,0.061843023519459916,100,0.01
62,call,84,0.7878787878787878,0.06003755500801379,100,0.01
63,call,86,0.7878787878787878,0.05656646624560729,100,0.01
64,call,89,0.7878787878787878,0.055622827906916375,100,0.01
65,call,91,0.7878787878787878,0.05268886629883284,100,0.01
66,call,93,0.7878787878787878,0.05263549385704263,100,0.01
67,call,95,0.7878787878787878,0.049272258320933376,100,0.01
68,call,97,0.7878787878787878,0.05000513999168474,100,0.01
69,call,99,0.7878787878787878,0.05055108537965565,100,0.01
70,call,102,0.7878787878787878,0.04970066540315694,100,0.01
71,call,104,0.7878787878787878,0.05088585978667688,100,0.01
72,call,106,0.7878787878787878,0.05082668356328577,100,0.01
73,call,108,0.7878787878787878,0.05203602667058339,100,0.01
74,call,110,0.7878787878787878,0.05375763995558057,100,0.01
75,call,112,0.7878787878787878,0.05287906937738752,100,0.01
76,call,114,0.7878787878787878,0.05408877161184586,100,0.01
77,call,117,0.7878787878787878,0.05695804042534927,100,0.01
78,call,119,0.7878787878787878,0.058276347014309275,100,0.01
79,call,121,0.7878787878787878,0.06117706625844546,100,0.01
80,call,80,0.8838383838383839,0.06686677864788304,100,0.01
81,call,82,0.8838383838383839,0.06158475204240527,100,0.01
82,call,84,0.8838383838383839,0.06193214542529,100,0.01
83,call,86,0.8838383838383839,0.0571176741342556,100,0.01
84,call,89,0.8838383838383839,0.05274050061755256,100,0.01
85,call,91,0.8838383838383839,0.05377108292328012,100,0.01
86,call,93,0.8838383838383839,0.05323460019330618,100,0.01
87,call,95,0.8838383838383839,0.050210837262407944,100,0.01
88,call,97,0.8838383838383839,0.04807440080933456,100,0.01
89,call,99,0.8838383838383839,0.049620746955379505,100,0.01
90,call,102,0.8838383838383839,0.04932114215895085,100,0.01
91,call,104,0.8838383838383839,0.051649212033730595,100,0.01
92,call,106,0.8838383838383839,0.05210515540138371,100,0.01
93,call,108,0.8838383838383839,0.049954992742290934,100,0.01
94,call,110,0.8838383838383839,0.05317521101071372,100,0.01
95,call,112,0.8838383838383839,0.052595612465934485,100,0.01
96,call,115,0.8838383838383839,0.05541339035876968,100,0.01
97,call,117,0.8838383838383839,0.056020680620963416,100,0.01
98,call,119,0.8838383838383839,0.058608930890682406,100,0.01
99,call,121,0.8838383838383839,0.059196245271740805,100,0.01
100,call,80,0.9797979797979798,0.06665695493151531,100,0.01
101,call,82,0.9797979797979798,0.06211364543312358,100,0.01
102,call,84,0.9797979797979798,0.05978343151209114,100,0.01
103,call,87,0.9797979797979798,0.054803713613466476,100,0.01
104,call,89,0.9797979797979798,0.053780726333031645,100,0.01
105,call,91,0.9797979797979798,0.052587107245347244,100,0.01
106,call,93,0.9797979797979798,0.05105257148455402,100,0.01
107,call,95,0.9797979797979798,0.050412238003511314,100,0.01
108,call,97,0.9797979797979798,0.05111489866180082,100,0.01
109,call,100,0.9797979797979798,0.04859845737657637,100,0.01
110,call,102,0.9797979797979798,0.050522323315070755,100,0.01
111,call,104,0.9797979797979798,0.05092884706477935,100,0.01
112,call,106,0.9797979797979798,0.05190458228039944,100,0.01
113,call,108,0.9797979797979798,0.05179108891379486,100,0.01
114,call,110,0.9797979797979798,0.050985626070723516,100,0.01
115,call,113,0.9797979797979798,0.05297126192676984,100,0.01
116,call,115,0.9797979797979798,0.05390806730685873,100,0.01
117,call,117,0.9797979797979798,0.057551781087440586,100,0.01
118,call,119,0.9797979797979798,0.05692837639715234,100,0.01
119,call,121,0.9797979797979798,0.059797518224788127,100,0.01
120,call,80,1.0757575757575757,0.06611457468941251,100,0.01
121,call,82,1.0757575757575757,0.06286402683521922,100,0.01
122,call,84,1.0757575757575757,0.05933457051032123,100,0.01
123,call,87,1.0757575757575757,0.057015311715643134,100,0.01
